0,0,2.2361,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1,17.205,20.591,2,5.831,3,29.275,21,1,4.4721,3.6056,8.0623,5,0,3.6056,5,3,0,5.099,5.6569,1,5.3852,1,3,6.0828,7.8102,1,0,17.493,0,4,20.591,0,0,0,0,0,3.6056,0,2.2361,3.1623,3.6056,1.4142,1,0,0,2.2361,1,3.6056,1,1.4142,1,0,0,0,27.074,7.0711,0,2,4,1.4142,12.166,0,1,1,0,0,5.831,1,5.099,3,3,0,0,1,1,0,0,0,4,1,14.422,9.2195,1,1.4142,2.2361,2.2361,1,3.1623,0,1,29.411,21.19,6.0828,2,1,0,5.099,0,0,4,5,6.4031,1,1,0,1,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,1,1,23.259,42.012,113.6,18.682,2,2,12.53,28.018,29.614,1.4142,1,5.3852,1,5.831,1.4142,0,2,1.4142,4.2426,93.68,11.045,0,3.1623,1,0,1.4142,0,0,20.396,0,4,17.72,2.2361,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,2,24,23.022,2.2361,1,4,4,8.9443,3.1623,0,0,0,0,0,0,0,0,0,0,0,0,6.4031,0,0,0,1,5.099,2,5,2.2361,1.4142,1,1.4142,1,1,0,1,5.831,50.448,17.72,0,0,1.4142,1,0,0,4.4721,0,0,1,1,0,1,1,0,1,0
2.8284,5.831,0,1,0,0,0,0,0,0,0,0,0,0,1,1.4142,5,6.7082,8.4853,11.402,2,1.4142,3.1623,1.4142,9.4868,25.942,15,1,0,4.1231,1,1,1.4142,2,1,1.4142,13,0,0,0,0,0,2.2361,0,0,9,0,0,3,4.1231,0,1,0,0,0,2,0,1,2.2361,1,2,1,0,1,1,0,1.4142,0,1,1,0,2.2361,18.385,1.4142,2.2361,2.8284,1,4.1231,13,9.0554,1,2.8284,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,23.022,5,20.616,1.4142,3.6056,1,2.8284,2,0,0,0,11.705,43.046,34.132,11.18,0,2,2.2361,1,2.2361,15.033,7.0711,2,1.4142,0,0,0,0,0,0,1
1.4142,2,0,0,0,0,0,0,0,0,0,1,0,1,1.4142,23.087,11.705,20.518,10.296,1,1,1,2.2361,1,4.2426,2.2361,10.44,1.4142,1,1,1.4142,1.4142,2.2361,2.2361,1,0,2.2361,2,2.2361,0,2.2361,1.4142,5.099,0,0,12.042,1,3,15,12.369,0,1.4142,1,0,2.2361,2,1.4142,4.1231,1,1,5.3852,1.4142,1.4142,0,0,1,1,1.4142,2.2361,1.4142,0,2,13.928,11.402,2,3.6056,0,2.8284,13.601,14.56,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3.1623,9.434,3.1623,11.18,1,3.1623,1.4142,2.2361,2,14.213,1,5.099,1,2.2361,2.2361,14.142,20.125,1,3.1623,4.4721,0,0,3.6056,6.7082,5.3852,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,1.4142,0,0,1,4.2426,1.4142,10.198,3.6056,1,3,3.1623,2.2361,1,0,1,32.985,20.248,4.4721,1.4142,1,3.1623,1,2.2361,2,1.4142,2,1,1,0,0,1.4142,4.1231,5.831,0,5,7.8102,5.3852,3,6.0828,5,3.1623,0,0,0,1.4142,0,0,2.2361,1,0,0,1,1,1.4142,1,10,1.4142,1,1,1,0,2.2361,15.133,9.434,2.2361,1,0,5,14.765,6.7082,1.4142,3.1623,0,0,0,0,0,0,1,0,0,0,1.4142,0,1,15,6.4031,7.6158,22.023,1,0,2.2361,3.1623,1,1,4,2.2361,2.2361,0,5.3852,60.828,8.0623,1.4142,1,1.4142,14.213,23.259,9.2195,0,3.6056,3.1623,0,0,8.0623,0,0,0,0
0,5,4,1,1,12.042,1,1.4142,1,1,0,0,1,18.111,17.804,10.77,49.01,1,1,2,2.2361,2,1.4142,4,1,4.4721,33.302,7.6158,11.662,1.4142,3.6056,4,2,1.4142,1,1.4142,1,1.4142,1,1,0,3.6056,3.1623,0,0,11.045,6.3246,3,2.2361,8.0623,6.7082,0,0,0,1,1,0,17.029,5.3852,1,0,5.831,1,8.544,14.56,16.279,6,0,3.6056,1,0,0,15.133,11.045,14.765,3.1623,1,4.4721,13.928,5.6569,1.4142,7.0711,1,2,3,2,1,1,0,4.1231,4.1231,2,1,1,3,3.1623,14.036,15.232,1,0,1,1.4142,2.8284,1.4142,2.8284,1,1.4142,1,2.2361,9.434,104.24,20,6.0828,2.8284,2.2361,14.56,104.81,17.804,17.263,0,3.1623,6.0828,12.53,0,1,0,0,0
2.2361,1,8.2462,3,6.3246,1,1,10,1.4142,1,2,3.6056,1,4.1231,1,5,1.4142,1,3.6056,5.099,4.1231,2.2361,6.7082,7.0711,0,1,23.431,18.682,6.3246,7.0711,1.4142,1,2.2361,2.2361,1,1.4142,1.4142,1,2.2361,0,0,3.1623,3.1623,0,2,5,1.4142,3,2.2361,4.1231,2,0,2.2361,0,2.8284,1,7.0711,5.099,14.142,5.099,1.4142,3.1623,7.8102,14.142,8.9443,1.4142,19.416,0,0,3.1623,0,0,1,11.402,15.811,5.831,2,2,13.928,3.6056,1,5,1.4142,3,2.2361,0,1,0,2,1,1.4142,2,6.7082,20.396,2.2361,7.0711,22.023,2,1.4142,1,8.544,3,23.087,6.7082,132.38,19.235,16.155,16.492,15.232,3.1623,16.279,27.074,0,1,1.4142,1,16.279,6.3246,32.894,19.235,5,0,7.2801,0,0,1,11,0
2,5.099,18.385,3.1623,0,1,4.1231,1,0,0,2.2361,1,16.279,11.045,2.2361,8.0623,1,4.1231,1,2,2.2361,1.4142,1,1,2.2361,0,1,2.2361,7.6158,3.1623,12.369,4.1231,1.4142,1,1.4142,2,0,1,1,1,2.2361,2,4,0,4.4721,12.083,3.1623,3,2.2361,5,3.1623,1,2,1,2,0,7.6158,4,15.524,5,2,2,2,2.2361,3.6056,10.198,8.9443,8.6023,0,1,1,1,1,2.8284,1.4142,1.4142,3,2.8284,7.8102,5.831,1,5.099,1.4142,1,0,1,0,3.1623,1.4142,3.1623,8.9443,10.05,17.029,9,11.045,7.2111,1.4142,1,1.4142,5.3852,1.4142,10.05,8.0623,2.8284,131.48,4.4721,16.279,12.042,1,48.332,19.105,4.4721,3.1623,1,1,1,0,17.029,55.362,21.095,21.378,0,0,18.439,9,10,7.0711,0
10,5.3852,18.788,1.4142,1,1,0,10.63,20.881,1,1,3.1623,5.3852,19.235,7.0711,2.2361,1.4142,1,1,1.4142,5,1.4142,1.4142,8.0623,1.4142,1,0,1,2.2361,7.0711,13.892,11.18,21.471,8.6023,2,1,2.8284,2.2361,1.4142,1,1.4142,2.2361,3.6056,0,5,5.831,12.042,3,3.1623,1.4142,2.2361,0,2.8284,1,3,1,2,2.2361,3.1623,3.6056,1.4142,4.4721,14.56,4.4721,1,19.647,3.1623,5.6569,0,1,1,1,1,1.4142,15.811,6,3,2.2361,13.928,5,1,5.831,2.2361,1,1,0,3,1.4142,10.63,2,3,4.2426,18.028,8.9443,3.6056,1,1,5,1,21.378,9.0554,5.831,2,1.4142,3,4.4721,23.195,44.777,58.241,11.402,1.4142,1,13.892,2.2361,1,5,13.038,18.788,0,15.62,18.439,22.136,0,12.042,12.806,10.05,11.045,0
10.05,0,0,1.4142,1,0,24.515,19.235,23.854,8.544,16.125,100.32,2.2361,24.083,13,4.4721,2.2361,4.2426,3.6056,6,80.399,34.986,8.544,8.0623,8.2462,1.4142,7.0711,0,1,7.6158,3.1623,20.248,3.1623,7.2111,16.125,6.0828,1,8.6023,9.2195,0,1,2,2,0,6.3246,5.099,13.038,3,5.831,10.817,3.1623,0,1.4142,1,1,0,8.6023,2.8284,4.1231,5,1,5,5,11.314,0,14.765,7.2111,1.4142,1,1,1.4142,2,0,1,9.8489,4.1231,3,7.2111,8.0623,1.4142,1,3.1623,2,0,0,2.2361,1.4142,12.728,2.2361,2.2361,13.892,1,1,1,1,2.2361,3.1623,1,1.4142,4.1231,2.8284,1.4142,1.4142,2.8284,2.2361,1,4.1231,6.3246,3,1.4142,1,9.434,31.623,14.318,1,0,14.866,18.248,10.77,0,24.083,25,17.029,0,0,3,3,9
